FID,the_geom,DELEGACION,MUNICIPIO,LOCALIDAD,DOM_UPP,NOM_UPP,SIST_TEC,SIST_SEMI,POLLO_ENG,HUEVO_PLA,CAP_INST,CAP_UTIL,NUM_NAVES,SUP_MT,VALIDADO,ESTATUS,PROD_LECH,ENGORDA,CICLO_COM,CAB_VIENT,CAB_LECH,CAB_CREC,CAB_FIN,CAB_SEM,TOTAL_ANIM,RAZA_PRINC,TIPO,FECHA,class
granjas_peninsula.170,POINT (-89.73976699976025 20.857174000296553),Yucatán,Umán,Umán,"Conocido (carretera antigua a Campeche, Chunchil, Uman)",San Mauro,X,,,,200,74,1,11372,,Activo,,0,X,70,0,75,0,4,149,Hibrida,Granjas porcinas,2005,3
granjas_peninsula.171,POINT (-89.74228100032815 20.903813000278973),Yucatán,Umán,Umán,"Conocido (Carretera Uman - Oxolon, Uman, Yucatán)",Dogre,X,,,,700,41,5,14972,,Activo,,0,X,70,0,85,125,4,284,Hibrida,Granjas porcinas,2005,3
granjas_peninsula.172,POINT (-89.53326399977513 20.929053999597695),Yucatán,Kanasín,Kanasín,"Conocido (carretera Mérida - Valladolid, Fte. Hacienda Teya)",Las Palomas,X,,,,600,41,4,18743,,Activo,,0,X,60,0,70,110,4,244,,Granjas porcinas,2005,3
granjas_peninsula.173,POINT (-89.66485000039951 20.820572000169943),Yucatán,Mérida,San José T'zal,Conocido (C.25 No. 100 x 20 y 22 San José T'zal),María Asunción,X,,,,200,91,8,7640,,Activo,,0,X,45,0,54,81,2,182,,Granjas porcinas,2005,3
granjas_peninsula.174,POINT (-89.62498899959928 20.866971999776585),Yucatán,Mérida,X'matkuil,Conocido (KM.5 carretera a X'matkuil),Facultad de Medicina Veterinaria UADY,X,,,,700,29,5,14055,,Activo,,0,X,50,0,60,90,3,203,,Granjas porcinas,2005,3
granjas_peninsula.175,POINT (-89.65089999986475 21.174582999772042),Yucatán,Progreso,Progreso,Conocido (carretera Mérida - Progreso),San Isidro,X,,,,500,73,20,12320,,Activo,,0,X,90,0,108,162,5,365,,Granjas porcinas,2000,2
granjas_peninsula.176,POINT (-89.79164899981134 20.87697700028465),Yucatán,Umán,Umán,Conocido (Carretera Uman - Samahil),Batzan,X,,,,1500,48,3,9875,,Activo,,0,X,180,0,200,340,8,728,,Granjas porcinas,2000,3
granjas_peninsula.177,POINT (-89.73107600007837 20.875951999974287),Yucatán,Umán,Umán,"Conocido (Km. 2 carretera Uman - Tebec, Uman, Yucatán)",Tahonal,X,,,,700,69,1,14230,,Activo,,0,X,120,0,144,216,6,486,,Granjas porcinas,2005,3
granjas_peninsula.178,POINT (-89.74487499965161 20.858697000389327),Yucatán,Umán,Chunchil,"Conocido (C. 100 Chunchil, Uman, Yucatán)",D'Carlos,X,,,,10000,76,5,55981,,Activo,X,0,,1900,0,2280,3420,20,7620,Pic,Granjas porcinas,2005,3
granjas_peninsula.179,POINT (-89.9283330000499 21.052632999548493),Yucatán,Hunucmá,Hunucmá,Conocido (KM. 5 carretera Hunucma - Sisal),Chan Rancho,X,,,,5000,80,8,349483,,Activo,,0,X,1000,0,1200,1800,7,4007,France hibrid,Granjas porcinas,2000,3
