latitud,longitud
20.98897457,-89.67013553
21.06244174,-89.61478747
20.59570346,-90.01362706
20.88882331,-89.66195531
21.02590843,-89.57213434
20.98958019,-89.66767237
21.15206064,-88.17438231
20.32848445,-89.64386649
20.9836827,-89.2316221
20.87470015,-89.25553309
20.99194914,-89.59919928
20.91816714,-89.54186634
20.88267827,-89.88811228
20.26583042,-89.34514458
20.81705173,-89.24478945
21.21505062,-89.3099652
20.86477873,-89.20513607
21.09435358,-89.57413949
21.13635947,-88.1436963
21.06164033,-89.42322826
21.11028103,-89.3994715
20.47775359,-90.08501437
21.06338524,-89.41672486
20.40552579,-89.53218007
20.38944762,-89.47108252
20.65236514,-87.93343161
21.2922675,-88.27417255
20.90361111,-89.52583332
20.92783572,-89.54601657
21.04290713,-89.03837693
21.27967512,-88.93965033
21.00311095,-89.40250292
20.92292258,-89.02161714
20.1040271,-88.91750489
21.00981675,-89.10900477
20.22496634,-89.305355
21.06969117,-89.52464853
20.38934719,-89.54063402
20.50210985,-89.59109374
20.332416,-89.41904
20.5817966,-90.01128475
20.91247743,-89.95903575
21.20615212,-88.78385507
20.48336083,-89.71957369
20.69510357,-88.22822137
20.97576486,-88.6018017
21.01460306,-88.3096023
20.87179275,-89.75367579
20.38933391,-89.47117482
20.85694885,-89.76945437
21.08752142,-89.27693254
20.47673379,-90.07903798
21.00060552,-89.18087694
21.11304662,-89.39904636
21.02176354,-88.30613926
20.53670932,-89.33541423
21.01131282,-88.308861
21.15192464,-88.15548938
20.47491185,-89.36546277
21.01241845,-88.30603396
